iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
20961,43.80202103,3.80890989,0.0261953,11.34098,11.15149,12.78964,,0,10.0005,497.1265,5.8096,0.003187,109.9814,2
22129,43.33689117,3.82620001,0.0372288,11.59385,11.17288,12.55954,,0,,,,,157.7337,1
29077,44.073349,4.52931976,0.0266206,11.24334,11.04711,12.68416,10.27027,2,10.2693,176.3078,85.7695,0.046324,111.8061,2
11433,44.19554901,4.97782993,0.0249958,11.1607,10.98939,12.24321,11.08527,1,,,,,104.8419,1
29311,44.46049881,4.99292994,0.0215089,10.67524,10.55152,11.86932,,0,,,,,89.9587,1
15503,41.9077301,4.63762999,0.0206386,10.92265,10.80982,12.0686,,0,,,,,86.2569,1
621,40.84276962,4.96842003,0.0128865,11.31724,11.26876,12.43784,,0,,,,,53.5171,1
19580,40.99353027,5.43860006,0.0226359,10.95622,10.81846,12.08536,,0,,,,,94.7598,1
30067,43.27009964,5.92861986,0.0707538,13.1045,11.59518,13.77893,,0,,,,,308.2672,1
12305,41.80099869,5.66485023,0.0675214,13.49267,12.1043,14.54009,,0,11.2139,311.4178,241.9668,0.053851,293.3866,2
15898,41.43907928,5.80603981,0.0670654,13.15567,11.78577,13.83657,,0,,,,,291.2939,1
2694,45.08560944,5.71237993,0.0280612,11.74393,11.52191,12.74188,,0,,,,,117.9965,1
16000,45.03591919,5.80458021,0.0215075,10.98749,10.86379,12.11695,10.96001,1,,,,,89.9528,1
31011,44.43122101,5.86569023,0.0270224,10.96023,10.75678,12.06536,,0,,,,,113.5313,1
1069,44.4231987,6.02692986,0.0235508,12.61903,12.46836,14.44997,11.73111,4,12.0069,489.3147,608.5851,0.370252,98.6641,32
23775,44.81713867,6.13355017,0.0267152,11.04571,10.8478,12.13746,,0,,,,,112.2123,1
21178,44.96784973,6.53290987,0.0279377,11.15733,10.93763,12.22479,,0,,,,,117.465,1
24899,44.71276855,6.37385988,0.0444067,11.89689,11.28002,12.80026,,0,,,,,189.2669,1
26127,45.0002594,6.77445984,0.0238896,10.84698,10.69135,11.99057,,0,,,,,100.111,1
6612,46.3952713,6.13338995,0.0375939,11.95085,11.52076,12.88228,,0,,,,,159.3287,1
24900,45.85277176,6.76627016,0.0371863,11.5901,11.17051,12.55639,,0,,,,,157.5483,1
13874,46.64561844,7.84232998,0.0256743,11.12645,10.94486,12.21062,,0,,,,,107.748,1
12733,46.11513138,7.60337019,0.0255624,11.33139,11.15142,12.76639,,0,10.4603,150.9535,181.6368,0.102042,107.2684,2
24769,43.33971024,6.53948021,0.0174018,10.53235,10.4534,11.78396,,0,,,,,72.5366,1
29350,43.19107056,6.65577984,0.0619738,12.689,11.50065,13.44864,,0,,,,,268.0335,1
29883,44.47967911,6.84797001,0.0259778,10.9518,10.76549,12.064,,0,,,,,109.049,1
26384,44.8182106,7.30522013,0.0247292,10.91528,10.74758,12.04095,,0,,,,,103.7011,1
23740,44.40254974,7.10477018,0.0428893,11.83682,11.26378,12.75243,,0,,,,,182.57,1
3869,44.17945099,7.33369017,0.0264821,11.54833,11.35428,12.57386,11.45004,1,,,,,111.2117,1
13407,44.29972839,7.73399019,0.0256833,11.16483,10.9832,12.24307,,0,,,,,107.7864,1
17207,43.06676102,6.75219011,0.0233625,10.94049,10.79238,12.06868,,0,,,,,97.8601,1
23712,42.67739105,6.85957003,0.0214116,10.73853,10.61582,11.91848,,0,,,,,89.5445,1
12538,42.97608948,7.7816,0.0253236,11.12824,10.95172,12.21399,,0,,,,,106.2456,1
6671,44.62540054,7.93683004,0.0241948,11.29685,11.13683,12.36434,,0,,,,,101.4154,1
31338,50.94319916,6.56181002,0.0230137,10.91549,10.77187,12.05024,,0,,,,,96.3712,1
18098,50.97000885,6.82098007,0.0277965,11.45802,11.24097,12.74013,,0,8.9336,32.0,120.1861,0.062249,116.8579,2
30440,51.56721115,6.87791014,0.0276362,11.03921,10.82492,12.1272,,0,,,,,116.1688,1
17638,51.70645905,7.12479019,0.036141,11.66116,11.26814,12.62553,,0,,,,,152.9876,1
21232,51.95539093,7.28963995,0.0276861,11.12234,10.90702,12.19652,,0,,,,,116.3832,1
3586,51.68955994,7.71457005,0.0237492,11.43938,11.28577,12.49152,,0,,,,,99.5113,1
17434,51.72467041,7.71135998,0.0358053,11.92513,11.53979,13.21242,,0,9.7152,135.1867,40.7223,0.016521,151.5245,2
5196,49.73908997,6.53800011,0.0227514,11.28049,11.14118,12.35783,,0,,,,,95.2522,1
27804,50.30661011,7.44344997,0.0360413,11.42681,11.03598,12.41671,,0,,,,,152.5528,1
20359,48.20862961,7.25223017,0.0478643,12.08812,11.36825,12.95999,,0,,,,,204.5903,1
11256,50.80733871,7.73822021,0.0272376,11.63007,11.42304,13.08721,,0,11.1016,411.6167,106.94,0.05649,114.4555,3
17379,51.70859146,8.20557022,0.0624803,12.89097,11.68471,13.62623,,0,,,,,270.3387,1
11353,50.75659943,8.45133018,0.023494,11.13371,10.98388,12.22832,,0,,,,,98.4213,1
17482,50.16487885,8.03977966,0.0481597,12.42313,11.694,13.50971,,0,8.5065,37.1277,33.394,0.010209,205.9034,2
3259,50.86396027,8.91238022,0.0231452,11.41879,11.27351,12.47656,,0,,,,,96.9324,1
31012,50.90663147,9.31632042,0.0372029,11.53353,11.11337,12.50567,,0,,,,,157.6207,1
28825,54.65864944,8.36643982,0.029329,11.11482,10.87113,12.18157,,0,,,,,123.4563,1
9893,52.55308151,8.58471966,0.0376561,12.09278,11.66113,13.52488,,0,11.959,695.2669,269.922,0.104336,159.6005,2
12854,52.57350922,8.64834023,0.0338572,11.60429,11.26745,12.58576,,0,,,,,143.0498,1
19070,54.69538879,9.26887035,0.0223665,10.92849,10.7942,12.06421,,0,,,,,93.6112,1
18615,54.19752121,9.39058971,0.0368439,11.60989,11.19893,12.57585,,0,,,,,156.0533,1
6844,54.46242142,9.60836029,0.0381288,11.9717,11.52833,12.89879,,0,,,,,161.6674,1
22531,54.04500961,9.88772964,0.0373503,11.62231,11.19833,12.58452,,0,,,,,158.2647,1
19745,54.82553101,9.89807987,0.0369816,11.62903,11.21516,12.59239,,0,,,,,156.6545,1
3132,54.66902161,9.97000027,0.0330419,12.34517,12.02589,13.95587,,0,11.6914,394.8117,451.9973,0.1981,139.5112,5
10347,55.10836029,10.07423973,0.0350896,11.72796,11.36041,12.69124,,0,,,,,148.4077,1
3210,54.8771019,10.18945026,0.022524,11.67342,11.53714,13.16448,,0,11.4449,465.9806,183.9734,0.116894,94.2825,2
3898,54.55870819,10.08436012,0.0376731,12.10583,11.67396,13.0243,,0,,,,,159.675,1
13920,54.74853134,10.41193962,0.0351456,11.5738,11.20493,12.55192,,0,,,,,148.6516,1
10201,54.94454956,10.58006954,0.0209191,10.98718,10.87053,12.1198,,0,,,,,87.4494,1
20556,51.89432144,8.9951601,0.0374083,11.59132,11.16588,12.55638,,0,,,,,158.518,1
