iGalID,iGrID,Name,RAJ2000,DEJ2000,z,logMstar
27957,1069,"    02583778+0610328",44.65745926,6.17586994,0.0239446,
15150,1069,"    02564045+0554465",44.16849899,5.91294003,0.0230361,
38325,1069,"    02551984+0607286",43.83271027,6.12460995,0.0241637,
25618,1069,"    02554691+0613033",43.94552994,6.21752024,0.0259729,10.9745
23964,1069,"    02565660+0612202",44.23583984,6.20558977,0.0205992,10.06011
26439,1069,"    02562895+0619035",44.12055969,6.3176198,0.0226945,
27420,1069,"    02590085+0616059",44.75363922,6.26827002,0.0218953,
29151,21178,"    02595228+0631584",44.96784973,6.53290987,0.0279377,
11830,1069,"    02582972+0618227",44.62379837,6.30635977,0.0216895,
29654,1069,"    02583441+0620388",44.64337921,6.34417009,0.0220166,
34303,24899,"    02585105+0622259",44.71276855,6.37385988,0.0444067,
4408,1069,"    02582459+0635307",44.60243988,6.59187984,0.0204349,
35979,26127,"    03000005+0646284",45.0002594,6.77445984,0.0238896,
9094,6612,"    03053486+0608001",46.3952713,6.13338995,0.0375939,
34304,24900,"    03032465+0645584",45.85277176,6.76627016,0.0371863,
19061,13874,"    03063494+0750323",46.64561844,7.84232998,0.0256743,
17520,12733,"    03042764+0736121",46.11513138,7.60337019,0.0253518,
40644,12733,"    03044511+0747394",46.18795013,7.79427004,0.025773,
11429,1069,"    02551486+0610398",43.8118782,6.17771006,0.0245268,
3271,1069,"    02534120+0615562",43.42169952,6.26562023,0.0239063,11.50654
14380,1069,"    02540351+0615286",43.51470947,6.25790977,0.0246549,
29188,1069,"    02554269+0620543",43.9279213,6.34842014,0.0218474,
20780,1069,"    02560667+0622353",44.02780151,6.37643003,0.0252571,
22229,1069,"    02555761+0629413",43.99000931,6.4948101,0.0249728,
21640,1069,"    02533119+0628252",43.38003159,6.47367001,0.0243821,
34116,24769,"    02532153+0632222",43.33971024,6.53948021,0.0174018,
40472,29350,"    02524584+0639206",43.19107056,6.65577984,0.0619738,
41217,29883,"    02575511+0650526",44.47967911,6.84797001,0.0259778,
36349,26384,"    02591637+0718187",44.8182106,7.30522013,0.0247292,
32706,23740,"    02573660+0706171",44.40254974,7.10477018,0.0428893,
5376,3869,"    02564306+0720015",44.17945099,7.33369017,0.0264821,11.45004
18413,13407,"    02571191+0744022",44.29972839,7.73399019,0.0256833,
23663,17207,"    02521603+0645079",43.06676102,6.75219011,0.0233625,
32669,23712,"    02504258+0651343",42.67739105,6.85957003,0.0214116,
17259,12538,"    02515425+0746538",42.97608948,7.7816,0.0253236,
9174,6671,"    02583008+0756127",44.62540054,7.93683004,0.0241948,
43274,31338,"    03234636+0633427",50.94319916,6.56181002,0.0230137,
25369,18098,"    03233844+0642417",50.91024017,6.71154022,0.0277644,
24863,18098,"    03235280+0649157",50.97000885,6.82098007,0.0278286,
41978,30440,"    03261613+0652405",51.56721115,6.87791014,0.0276362,
24248,17638,"    03264955+0707291",51.70645905,7.12479019,0.036141,
29223,21232,"    03274927+0717227",51.95539093,7.28963995,0.0276861,
24002,17434,"    03265662+0740491",51.7359314,7.68026018,0.0356137,
4978,3586,"    03264551+0742521",51.68955994,7.71457005,0.0237492,
23966,17434,"    03265392+0742411",51.72467041,7.71135998,0.0359969,
7153,5196,"    03185739+0632168",49.73908997,6.53800011,0.0227514,
38326,27804,"    03211356+0726364",50.30661011,7.44344997,0.0360413,
27995,20359,"    03125006+0715080",48.20862961,7.25223017,0.0478643,
40764,11256,"    03225150+0735146",50.71458817,7.58732986,0.0264255,
42911,11256,"    03231752+0741018",50.82294846,7.68388987,0.0272376,
15502,11256,"    03231375+0744178",50.80733871,7.73822021,0.0283809,
23892,17379,"    03265006+0812201",51.70859146,8.20557022,0.0624803,
15640,11353,"    03230158+0827045",50.75659943,8.45133018,0.023494,
42856,17482,"    03203605+0801317",50.15018082,8.02546024,0.0480912,
24035,17482,"    03203956+0802229",50.16487885,8.03977966,0.0482282,
4528,3259,"    03232736+0854448",50.86396027,8.91238022,0.0231452,
42812,31012,"    03233759+0918587",50.90663147,9.31632042,0.0372029,
9235,3480,"    03223631+0928246",50.65127945,9.47356033,0.023714,
39740,28825,"    03383809+0821589",54.65864944,8.36643982,0.029329,
13583,9893,"    03301273+0835050",52.55308151,8.58471966,0.0366944,
17685,12854,"    03301765+0838540",52.57350922,8.64834023,0.0338572,
